"idRam";"registro";"hora"
1062;68.3;"2022-10-24 22:05:58"
1063;68.3;"2022-10-24 22:05:59"
1064;68.5;"2022-10-24 22:06:00"
1065;68.5;"2022-10-24 22:06:01"
1066;68.7;"2022-10-24 22:06:03"
1067;68.7;"2022-10-24 22:06:04"
1068;68.6;"2022-10-24 22:06:05"
1069;68.6;"2022-10-24 22:06:06"
1070;68.5;"2022-10-24 22:06:07"
1071;68.0;"2022-10-24 22:06:08"
1072;68.0;"2022-10-24 22:06:09"
1073;68.0;"2022-10-24 22:06:10"
1074;68.0;"2022-10-24 22:06:11"
1075;68.0;"2022-10-24 22:06:12"
1076;68.0;"2022-10-24 22:06:13"
1077;67.9;"2022-10-24 22:06:15"
1078;68.0;"2022-10-24 22:06:16"
1079;67.8;"2022-10-24 22:06:17"
1080;67.8;"2022-10-24 22:06:18"
1081;67.8;"2022-10-24 22:06:19"
1082;67.7;"2022-10-24 22:06:20"
1083;67.7;"2022-10-24 22:06:21"
1084;67.7;"2022-10-24 22:06:22"
1085;67.8;"2022-10-24 22:06:23"
1086;67.8;"2022-10-24 22:06:24"
1087;67.9;"2022-10-24 22:06:26"
1088;68.0;"2022-10-24 22:06:27"
1089;68.2;"2022-10-24 22:06:28"
1090;69.3;"2022-10-24 22:06:30"
1091;68.3;"2022-10-24 22:06:31"
1092;68.7;"2022-10-24 22:06:32"
1093;69.9;"2022-10-24 22:06:33"
1094;69.0;"2022-10-24 22:06:34"
1095;68.9;"2022-10-24 22:06:36"
1096;68.8;"2022-10-24 22:06:37"
1097;68.6;"2022-10-24 22:06:38"
1098;68.5;"2022-10-24 22:06:39"
1099;69.0;"2022-10-24 22:06:40"
1100;68.6;"2022-10-24 22:06:41"
1101;70.1;"2022-10-24 22:06:42"
1102;68.8;"2022-10-24 22:06:43"
1103;68.9;"2022-10-24 22:06:45"
1104;68.9;"2022-10-24 22:06:46"
1105;68.9;"2022-10-24 22:06:47"
1106;68.8;"2022-10-24 22:06:48"
1107;68.8;"2022-10-24 22:06:49"
1108;69.0;"2022-10-24 22:06:50"
1109;69.1;"2022-10-24 22:06:51"
1110;69.4;"2022-10-24 22:06:53"
1111;69.2;"2022-10-24 22:06:54"
1112;68.8;"2022-10-24 22:06:55"
1113;68.9;"2022-10-24 22:06:56"
1114;68.8;"2022-10-24 22:06:57"
1115;68.8;"2022-10-24 22:06:58"
1116;68.7;"2022-10-24 22:07:00"
1117;69.0;"2022-10-24 22:07:01"
1118;69.1;"2022-10-24 22:07:02"
1119;68.8;"2022-10-24 22:07:03"
1120;68.9;"2022-10-24 22:07:04"
1121;69.0;"2022-10-24 22:07:06"
1122;68.9;"2022-10-24 22:07:07"
1123;68.8;"2022-10-24 22:07:09"
1124;68.7;"2022-10-24 22:07:10"
1125;68.7;"2022-10-24 22:07:11"
1126;68.7;"2022-10-24 22:07:12"
1127;68.6;"2022-10-24 22:07:13"
1128;68.6;"2022-10-24 22:07:14"
1129;68.7;"2022-10-24 22:07:15"
1130;68.5;"2022-10-24 22:07:16"
1131;69.0;"2022-10-24 22:07:17"
1132;69.1;"2022-10-24 22:07:18"
1133;69.1;"2022-10-24 22:07:19"
1134;69.0;"2022-10-24 22:07:20"
1135;69.0;"2022-10-24 22:07:22"
1136;69.1;"2022-10-24 22:07:23"
1137;69.0;"2022-10-24 22:07:24"
1138;69.1;"2022-10-24 22:07:25"
1139;69.1;"2022-10-24 22:07:26"
1140;68.8;"2022-10-24 22:07:27"
1141;68.3;"2022-10-24 22:07:28"
1142;68.2;"2022-10-24 22:07:29"
1143;68.4;"2022-10-24 22:07:30"
1144;68.7;"2022-10-24 22:07:32"
1145;68.7;"2022-10-24 22:07:33"
1146;68.9;"2022-10-24 22:07:34"
1147;69.1;"2022-10-24 22:07:35"
1148;69.0;"2022-10-24 22:07:36"
1149;68.9;"2022-10-24 22:07:37"
1150;68.9;"2022-10-24 22:07:38"
1151;68.9;"2022-10-24 22:07:39"
1152;68.9;"2022-10-24 22:07:40"
1153;68.8;"2022-10-24 22:07:41"
1154;69.0;"2022-10-24 22:07:43"
1155;69.1;"2022-10-24 22:07:44"
1156;69.1;"2022-10-24 22:07:45"
1157;68.9;"2022-10-24 22:07:46"
1158;69.1;"2022-10-24 22:07:47"
1159;69.0;"2022-10-24 22:07:48"
1160;69.2;"2022-10-24 22:07:49"
1161;69.2;"2022-10-24 22:07:50"
1162;69.7;"2022-10-24 22:07:51"
1163;69.9;"2022-10-24 22:07:52"
1164;69.9;"2022-10-24 22:07:54"
1165;69.9;"2022-10-24 22:07:55"
1166;69.7;"2022-10-24 22:07:56"
1167;70.0;"2022-10-24 22:07:57"
1168;69.9;"2022-10-24 22:07:58"
1169;70.1;"2022-10-24 22:07:59"
1170;69.7;"2022-10-24 22:08:00"
1171;69.8;"2022-10-24 22:08:01"
1172;69.8;"2022-10-24 22:08:02"
1173;69.7;"2022-10-24 22:08:03"
1174;69.5;"2022-10-24 22:08:05"
1175;69.5;"2022-10-24 22:08:06"
1176;69.5;"2022-10-24 22:08:07"
1177;69.5;"2022-10-24 22:08:08"
1178;69.4;"2022-10-24 22:08:09"
1179;69.2;"2022-10-24 22:08:10"
1180;69.4;"2022-10-24 22:08:11"
1181;69.4;"2022-10-24 22:08:12"
1182;69.2;"2022-10-24 22:08:13"
1183;69.4;"2022-10-24 22:08:14"
1184;69.5;"2022-10-24 22:08:15"
1185;69.6;"2022-10-24 22:08:17"
1186;69.1;"2022-10-24 22:08:18"
1187;69.2;"2022-10-24 22:08:19"
1188;69.7;"2022-10-24 22:08:20"
1189;69.6;"2022-10-24 22:08:21"
1190;69.6;"2022-10-24 22:08:22"
1191;69.9;"2022-10-24 22:08:23"
1192;69.9;"2022-10-24 22:08:24"
1193;69.6;"2022-10-24 22:08:26"
1194;69.5;"2022-10-24 22:08:27"
1195;69.4;"2022-10-24 22:08:28"
1196;69.4;"2022-10-24 22:08:29"
1197;69.4;"2022-10-24 22:08:30"
1198;69.4;"2022-10-24 22:08:31"
1199;69.4;"2022-10-24 22:08:32"
1200;69.6;"2022-10-24 22:08:33"
1201;69.7;"2022-10-24 22:08:34"
1202;69.7;"2022-10-24 22:08:35"
1203;69.7;"2022-10-24 22:08:36"
1204;69.6;"2022-10-24 22:08:38"
1205;69.6;"2022-10-24 22:08:39"
1206;69.3;"2022-10-24 22:08:40"
1207;69.4;"2022-10-24 22:08:41"
1208;69.3;"2022-10-24 22:08:42"
1209;69.4;"2022-10-24 22:08:43"
1210;69.3;"2022-10-24 22:08:44"
1211;69.5;"2022-10-24 22:08:45"
1212;69.6;"2022-10-24 22:08:46"
1213;69.4;"2022-10-24 22:08:47"
1214;69.6;"2022-10-24 22:08:48"
1215;69.7;"2022-10-24 22:08:49"
1216;69.8;"2022-10-24 22:08:50"
1217;69.4;"2022-10-24 22:08:51"
1218;69.7;"2022-10-24 22:08:53"
1219;66.8;"2022-10-24 22:08:54"
1220;67.6;"2022-10-24 22:08:55"
1221;67.5;"2022-10-24 22:08:56"
1222;67.6;"2022-10-24 22:08:57"
1223;67.4;"2022-10-24 22:08:59"
1224;67.9;"2022-10-24 22:09:00"
1225;67.5;"2022-10-24 22:09:01"
1226;66.8;"2022-10-24 22:09:02"
1227;67.2;"2022-10-24 22:09:03"
1228;67.3;"2022-10-24 22:09:04"
1229;67.6;"2022-10-24 22:09:05"
1230;67.4;"2022-10-24 22:09:06"
1231;67.5;"2022-10-24 22:09:07"
1232;67.6;"2022-10-24 22:09:08"
1233;67.6;"2022-10-24 22:09:09"
1234;67.9;"2022-10-24 22:09:10"
1235;66.9;"2022-10-24 22:09:12"
1236;67.7;"2022-10-24 22:09:13"
1237;67.9;"2022-10-24 22:09:14"
1238;67.7;"2022-10-24 22:09:15"
1239;67.7;"2022-10-24 22:09:17"
1240;67.4;"2022-10-24 22:09:18"
1241;67.4;"2022-10-24 22:09:19"
1242;67.3;"2022-10-24 22:09:20"
1243;67.2;"2022-10-24 22:09:21"
1244;67.2;"2022-10-24 22:09:22"
1245;67.4;"2022-10-24 22:09:24"
1246;67.4;"2022-10-24 22:09:25"
1247;67.4;"2022-10-24 22:09:26"
1248;67.3;"2022-10-24 22:09:27"
1249;66.9;"2022-10-24 22:09:28"
1250;66.1;"2022-10-24 22:09:29"
1251;66.1;"2022-10-24 22:09:30"
1252;66.1;"2022-10-24 22:09:31"
1253;66.4;"2022-10-24 22:09:32"
1254;66.2;"2022-10-24 22:09:34"
1255;66.5;"2022-10-24 22:09:35"
1256;66.7;"2022-10-24 22:09:36"
1257;66.7;"2022-10-24 22:09:37"
1258;66.7;"2022-10-24 22:09:38"
1259;66.9;"2022-10-24 22:09:39"
1260;66.4;"2022-10-24 22:09:40"
1261;66.3;"2022-10-24 22:09:42"
1262;66.1;"2022-10-24 22:09:43"
1263;66.4;"2022-10-24 22:09:44"
1264;66.5;"2022-10-24 22:09:45"
1265;66.3;"2022-10-24 22:09:46"
1266;66.1;"2022-10-24 22:09:47"
1267;66.5;"2022-10-24 22:09:48"
1268;66.9;"2022-10-24 22:09:49"
1269;67.1;"2022-10-24 22:09:51"
1270;66.4;"2022-10-24 22:09:52"
1271;66.4;"2022-10-24 22:09:53"
1272;66.4;"2022-10-24 22:09:54"
1273;66.2;"2022-10-24 22:09:55"
1274;66.4;"2022-10-24 22:09:57"
1275;66.5;"2022-10-24 22:09:58"
1276;66.5;"2022-10-24 22:09:59"
1277;66.3;"2022-10-24 22:10:01"
1278;66.5;"2022-10-24 22:10:02"
1279;66.4;"2022-10-24 22:10:03"
1280;66.6;"2022-10-24 22:10:04"
1281;66.7;"2022-10-24 22:10:05"
1282;66.9;"2022-10-24 22:10:06"
1283;67.0;"2022-10-24 22:10:07"
1284;66.7;"2022-10-24 22:10:09"
1285;66.7;"2022-10-24 22:10:10"
1286;66.5;"2022-10-24 22:10:11"
1287;66.4;"2022-10-24 22:10:12"
1288;66.3;"2022-10-24 22:10:13"
1289;66.2;"2022-10-24 22:10:14"
1290;66.3;"2022-10-24 22:10:15"
1291;66.5;"2022-10-24 22:10:16"
1292;66.5;"2022-10-24 22:10:17"
1293;66.8;"2022-10-24 22:10:18"
1294;66.9;"2022-10-24 22:10:20"
1295;66.9;"2022-10-24 22:10:21"
1296;66.8;"2022-10-24 22:10:22"
1297;66.7;"2022-10-24 22:10:23"
1298;66.4;"2022-10-24 22:10:24"
1299;66.8;"2022-10-24 22:10:25"
1300;66.8;"2022-10-24 22:10:26"
1301;66.8;"2022-10-24 22:10:27"
1302;66.8;"2022-10-24 22:10:28"
1303;66.7;"2022-10-24 22:10:29"
1304;66.7;"2022-10-24 22:10:31"
1305;66.6;"2022-10-24 22:10:32"
1306;66.7;"2022-10-24 22:10:33"
1307;66.5;"2022-10-24 22:10:34"
1308;66.4;"2022-10-24 22:10:35"
1309;66.6;"2022-10-24 22:10:36"
1310;66.4;"2022-10-24 22:10:37"
1311;66.4;"2022-10-24 22:10:38"
1312;66.4;"2022-10-24 22:10:39"
1313;66.4;"2022-10-24 22:10:41"
1314;66.0;"2022-10-24 22:10:42"
1315;66.0;"2022-10-24 22:10:43"
1316;66.0;"2022-10-24 22:10:44"
1317;66.0;"2022-10-24 22:10:45"
1318;65.9;"2022-10-24 22:10:46"
1319;66.0;"2022-10-24 22:10:47"
1320;66.0;"2022-10-24 22:10:48"
1321;66.1;"2022-10-24 22:10:49"
1322;66.3;"2022-10-24 22:10:50"
1323;66.3;"2022-10-24 22:10:51"
1324;66.4;"2022-10-24 22:10:52"
1325;66.3;"2022-10-24 22:10:53"
1326;66.6;"2022-10-24 22:10:55"
1327;66.2;"2022-10-24 22:10:56"
1328;66.2;"2022-10-24 22:10:57"
1329;66.2;"2022-10-24 22:10:58"
1330;66.5;"2022-10-24 22:10:59"
1331;66.5;"2022-10-24 22:11:00"
1332;66.3;"2022-10-24 22:11:01"
1333;66.5;"2022-10-24 22:11:02"
1334;66.4;"2022-10-24 22:11:03"
1335;66.5;"2022-10-24 22:11:04"
1336;66.4;"2022-10-24 22:11:05"
1337;66.6;"2022-10-24 22:11:06"
1338;66.6;"2022-10-24 22:11:07"
1339;66.6;"2022-10-24 22:11:09"
1340;66.6;"2022-10-24 22:11:10"
1341;66.5;"2022-10-24 22:11:11"
1342;66.4;"2022-10-24 22:11:12"
1343;66.4;"2022-10-24 22:11:13"
1344;66.5;"2022-10-24 22:11:14"
1345;66.7;"2022-10-24 22:11:15"
1346;67.0;"2022-10-24 22:11:16"
1347;67.1;"2022-10-24 22:11:18"
1348;67.3;"2022-10-24 22:11:19"
1349;67.2;"2022-10-24 22:11:20"
1350;67.3;"2022-10-24 22:11:21"
1351;67.3;"2022-10-24 22:11:22"
1352;67.2;"2022-10-24 22:11:23"
