"idCpu";"registro";"hora"
313;22.0;"2022-10-24 21:51:28"
314;23.6;"2022-10-24 21:51:29"
315;25.2;"2022-10-24 21:51:30"
316;34.0;"2022-10-24 21:51:31"
317;77.1;"2022-10-24 21:51:33"
318;34.9;"2022-10-24 21:51:34"
319;23.3;"2022-10-24 21:51:35"
320;34.6;"2022-10-24 21:51:36"
321;25.3;"2022-10-24 21:51:37"
322;65.0;"2022-10-24 21:51:38"
323;49.8;"2022-10-24 21:51:39"
324;49.3;"2022-10-24 21:51:40"
325;31.1;"2022-10-24 21:51:41"
326;29.3;"2022-10-24 21:51:42"
327;35.5;"2022-10-24 21:51:43"
328;24.1;"2022-10-24 21:51:44"
329;37.6;"2022-10-24 21:51:45"
330;51.9;"2022-10-24 21:51:47"
331;53.3;"2022-10-24 21:51:49"
332;20.9;"2022-10-24 21:51:51"
333;19.8;"2022-10-24 21:51:52"
334;23.1;"2022-10-24 21:51:53"
335;34.4;"2022-10-24 21:51:54"
336;14.1;"2022-10-24 21:51:55"
337;47.3;"2022-10-24 21:51:56"
338;35.1;"2022-10-24 21:51:57"
339;45.7;"2022-10-24 21:51:58"
340;29.5;"2022-10-24 21:51:59"
341;20.5;"2022-10-24 21:52:01"
342;21.8;"2022-10-24 21:52:02"
343;6.9;"2022-10-24 21:52:03"
344;12.6;"2022-10-24 21:52:04"
345;20.9;"2022-10-24 21:52:05"
346;18.0;"2022-10-24 21:52:06"
347;9.5;"2022-10-24 21:52:07"
348;13.6;"2022-10-24 21:52:09"
349;16.3;"2022-10-24 21:52:10"
350;13.7;"2022-10-24 21:52:11"
351;15.9;"2022-10-24 21:52:12"
352;5.3;"2022-10-24 21:52:13"
353;14.0;"2022-10-24 21:52:14"
354;12.4;"2022-10-24 21:52:15"
355;14.7;"2022-10-24 21:52:16"
356;25.4;"2022-10-24 21:52:17"
357;13.6;"2022-10-24 21:52:18"
358;23.6;"2022-10-24 21:52:19"
359;11.9;"2022-10-24 21:52:20"
360;17.2;"2022-10-24 21:52:21"
361;19.5;"2022-10-24 21:52:23"
362;19.6;"2022-10-24 21:52:24"
363;9.5;"2022-10-24 21:52:25"
364;6.2;"2022-10-24 21:52:26"
365;7.3;"2022-10-24 21:52:27"
366;3.9;"2022-10-24 21:52:28"
367;6.6;"2022-10-24 21:52:29"
368;4.6;"2022-10-24 21:52:30"
369;3.4;"2022-10-24 21:52:31"
370;5.5;"2022-10-24 21:52:32"
371;7.8;"2022-10-24 21:52:33"
372;9.7;"2022-10-24 21:52:34"
373;4.6;"2022-10-24 21:52:35"
374;8.0;"2022-10-24 21:52:37"
375;8.5;"2022-10-24 21:52:38"
376;16.9;"2022-10-24 21:52:39"
377;14.6;"2022-10-24 21:52:40"
378;8.2;"2022-10-24 21:52:41"
379;6.2;"2022-10-24 21:52:42"
380;29.0;"2022-10-24 21:52:43"
381;17.8;"2022-10-24 21:52:44"
382;13.2;"2022-10-24 21:52:45"
383;23.9;"2022-10-24 21:52:46"
