"idTemp";"registro";"hora"
922;41.0;"2022-10-24 22:42:37"
923;41.0;"2022-10-24 22:42:38"
924;40.0;"2022-10-24 22:42:39"
925;40.0;"2022-10-24 22:42:40"
926;40.0;"2022-10-24 22:42:42"
927;41.0;"2022-10-24 22:42:43"
928;47.0;"2022-10-24 22:42:44"
929;42.0;"2022-10-24 22:42:45"
930;43.0;"2022-10-24 22:42:46"
931;43.0;"2022-10-24 22:42:47"
932;46.0;"2022-10-24 22:42:48"
933;44.0;"2022-10-24 22:42:49"
934;44.0;"2022-10-24 22:42:50"
935;47.0;"2022-10-24 22:42:51"
936;45.0;"2022-10-24 22:42:52"
937;47.0;"2022-10-24 22:42:53"
938;44.0;"2022-10-24 22:42:55"
939;44.0;"2022-10-24 22:42:56"
940;40.0;"2022-10-24 22:42:57"
941;42.0;"2022-10-24 22:42:58"
942;40.0;"2022-10-24 22:42:59"
943;39.0;"2022-10-24 22:43:00"
944;40.0;"2022-10-24 22:43:01"
945;44.0;"2022-10-24 22:43:02"
946;47.0;"2022-10-24 22:43:03"
947;47.0;"2022-10-24 22:43:04"
948;49.0;"2022-10-24 22:43:05"
949;42.0;"2022-10-24 22:43:06"
950;43.0;"2022-10-24 22:43:07"
951;43.0;"2022-10-24 22:43:09"
952;40.0;"2022-10-24 22:43:10"
953;38.0;"2022-10-24 22:43:11"
954;40.0;"2022-10-24 22:43:12"
955;39.0;"2022-10-24 22:43:13"
956;40.0;"2022-10-24 22:43:14"
957;39.0;"2022-10-24 22:43:15"
958;39.0;"2022-10-24 22:43:16"
959;40.0;"2022-10-24 22:43:17"
960;41.0;"2022-10-24 22:43:18"
961;39.0;"2022-10-24 22:43:19"
962;37.0;"2022-10-24 22:43:21"
963;36.0;"2022-10-24 22:43:22"
964;37.0;"2022-10-24 22:43:23"
965;39.0;"2022-10-24 22:43:24"
966;37.0;"2022-10-24 22:43:25"
967;41.0;"2022-10-24 22:43:26"
968;39.0;"2022-10-24 22:43:27"
969;36.0;"2022-10-24 22:43:28"
970;37.0;"2022-10-24 22:43:29"
971;47.0;"2022-10-24 22:43:30"
972;42.0;"2022-10-24 22:43:31"
973;41.0;"2022-10-24 22:43:32"
974;40.0;"2022-10-24 22:43:33"
975;45.0;"2022-10-24 22:43:34"
976;38.0;"2022-10-24 22:43:36"
977;39.0;"2022-10-24 22:43:37"
978;43.0;"2022-10-24 22:43:38"
979;40.0;"2022-10-24 22:43:39"
980;40.0;"2022-10-24 22:43:40"
981;41.0;"2022-10-24 22:43:41"
982;38.0;"2022-10-24 22:43:42"
983;40.0;"2022-10-24 22:43:43"
984;37.0;"2022-10-24 22:43:44"
985;40.0;"2022-10-24 22:43:45"
986;40.0;"2022-10-24 22:43:46"
987;39.0;"2022-10-24 22:43:47"
988;39.0;"2022-10-24 22:43:48"
989;41.0;"2022-10-24 22:43:49"
990;39.0;"2022-10-24 22:43:51"
991;41.0;"2022-10-24 22:43:52"
992;40.0;"2022-10-24 22:43:53"
993;42.0;"2022-10-24 22:43:54"
994;38.0;"2022-10-24 22:43:55"
995;46.0;"2022-10-24 22:43:56"
996;40.0;"2022-10-24 22:43:57"
997;40.0;"2022-10-24 22:43:58"
998;40.0;"2022-10-24 22:43:59"
999;41.0;"2022-10-24 22:44:00"
1000;38.0;"2022-10-24 22:44:01"
1001;41.0;"2022-10-24 22:44:02"
1002;41.0;"2022-10-24 22:44:03"
1003;39.0;"2022-10-24 22:44:04"
1004;41.0;"2022-10-24 22:44:06"
1005;37.0;"2022-10-24 22:44:07"
1006;39.0;"2022-10-24 22:44:08"
1007;38.0;"2022-10-24 22:44:09"
1008;47.0;"2022-10-24 22:44:10"
1009;41.0;"2022-10-24 22:44:11"
1010;39.0;"2022-10-24 22:44:12"
1011;46.0;"2022-10-24 22:44:13"
1012;47.0;"2022-10-24 22:44:14"
1013;37.0;"2022-10-24 22:44:15"
1014;40.0;"2022-10-24 22:44:17"
1015;43.0;"2022-10-24 22:44:18"
1016;41.0;"2022-10-24 22:44:19"
1017;44.0;"2022-10-24 22:44:20"
1018;42.0;"2022-10-24 22:44:21"
1019;46.0;"2022-10-24 22:44:22"
1020;38.0;"2022-10-24 22:44:23"
1021;37.0;"2022-10-24 22:44:24"
1022;36.0;"2022-10-24 22:44:25"
